"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 09, 2019","2.6935","2.6895","2.6895","2.6895","0.14K","-1.28%"
"Jul 08, 2019","2.7285","2.7245","2.7245","2.7245","0.57K","0.00%"
"Jul 05, 2019","2.7285","2.7245","2.7245","2.7245","0.18K","1.81%"
"Jul 04, 2019","2.6800","2.6850","2.6870","2.6700","-","-2.35%"
"Jul 03, 2019","2.7445","2.7405","2.7405","2.7405","0.12K","0.40%"
"Jul 02, 2019","2.7335","2.7295","2.7295","2.7295","0.47K","-0.71%"
"Jul 01, 2019","2.7530","2.7490","2.7490","2.7490","0.33K","-0.88%"
"Jun 28, 2019","2.7775","2.7740","2.7740","2.7740","0.22K","-0.02%"
"Jun 27, 2019","2.7780","2.7745","2.7745","2.7745","0.11K","0.02%"
"Jun 26, 2019","2.7775","2.7740","2.7740","2.7740","0.44K","-0.52%"
"Jun 25, 2019","2.7920","2.7890","2.7890","2.7890","0.17K","1.20%"
"Jun 24, 2019","2.7590","2.7560","2.7560","2.7560","0.06K","0.11%"
"Jun 21, 2019","2.7560","2.7520","2.7520","2.7520","0.06K","0.04%"
"Jun 20, 2019","2.7550","2.7510","2.7510","2.7510","0.06K","1.16%"
"Jun 19, 2019","2.7235","2.7195","2.7195","2.7195","0.09K","-0.58%"
"Jun 18, 2019","2.7395","2.7355","2.7355","2.7355","0.09K","1.90%"
"Jun 17, 2019","2.6885","2.6845","2.6845","2.6845","0.11K","0.24%"
"Jun 14, 2019","2.6820","2.6780","2.6780","2.6780","0.06K","-1.12%"
"Jun 13, 2019","2.7125","2.7085","2.7085","2.7085","0.03K","0.00%"
"Jun 12, 2019","2.7125","2.7085","2.7085","2.7085","0.04K","-0.62%"
"Jun 11, 2019","2.7295","2.7255","2.7255","2.7255","0.03K","0.50%"
"Jun 10, 2019","2.7160","2.7120","2.7120","2.7120","0.05K","1.23%"
"Jun 07, 2019","2.6830","2.6790","2.6790","2.6790","0.08K","-0.94%"
"Jun 06, 2019","2.7085","2.7045","2.7045","2.7045","0.05K","0.95%"
"Jun 05, 2019","2.6830","2.6790","2.6790","2.6790","0.03K","-1.65%"
"Jun 04, 2019","2.7280","2.7240","2.7240","2.7240","0.04K","0.70%"
"Jun 03, 2019","2.7090","2.7050","2.7050","2.7050","0.04K","0.52%"
"May 31, 2019","2.6950","2.6910","2.6910","2.6910","0.11K","-0.94%"
"May 30, 2019","2.7205","2.7180","2.7180","2.7180","0.05K","-0.48%"
"May 29, 2019","2.7335","2.7310","2.7310","2.7310","0.06K","-0.91%"
"May 28, 2019","2.7585","2.7560","2.7560","2.7560","0.11K","1.68%"
"May 27, 2019","2.7130","2.7000","2.7170","2.6960","-","0.44%"
"May 26, 2019","2.7010","2.6990","2.7030","2.6950","-","-2.30%"
"May 24, 2019","2.7645","2.7625","2.7625","2.7625","0.01K","0.60%"
"May 23, 2019","2.7480","2.7460","2.7460","2.7460","0.01K","-0.07%"
"May 22, 2019","2.7500","2.7480","2.7480","2.7480","0.26K","-1.04%"
"May 21, 2019","2.7790","2.7800","2.7800","2.7800","0.16K","-0.14%"
"May 20, 2019","2.7830","2.7840","2.7840","2.7840","0.02K","-0.52%"
"May 17, 2019","2.7975","2.7985","2.7985","2.7985","0.00K","-0.30%"
"May 16, 2019","2.8060","2.8070","2.8070","2.8070","0.02K","0.36%"
"May 15, 2019","2.7960","2.7970","2.7970","2.7970","0.03K","0.29%"
"May 14, 2019","2.7880","2.7890","2.7890","2.7890","0.03K","0.23%"
"May 13, 2019","2.7815","2.7825","2.7825","2.7825","0.02K","-1.89%"
"May 10, 2019","2.8350","2.8360","2.8360","2.8360","0.03K","0.12%"
"May 09, 2019","2.8315","2.8325","2.8325","2.8325","0.09K","-0.26%"
"May 08, 2019","2.8390","2.8400","2.8400","2.8400","0.06K","-0.65%"
"May 07, 2019","2.8575","2.8555","2.8555","2.8555","0.28K","-1.45%"
"May 06, 2019","2.8995","2.8975","2.8975","2.8975","0.04K","0.61%"
"May 03, 2019","2.8820","2.8800","2.8800","2.8800","0.18K","1.23%"
"May 02, 2019","2.8470","2.8450","2.8450","2.8450","0.10K","-0.99%"
"May 01, 2019","2.8755","2.8745","2.8745","2.8745","0.23K","-3.25%"
"Apr 30, 2019","2.9720","2.9715","2.9715","2.9715","0.03K","0.25%"
"Apr 29, 2019","2.9645","2.9640","2.9640","2.9640","0.03K","0.25%"
"Apr 26, 2019","2.9570","2.9565","2.9565","2.9565","0.03K","0.97%"
"Apr 25, 2019","2.9285","2.9280","2.9280","2.9280","0.03K","-1.50%"
"Apr 24, 2019","2.9730","2.9725","2.9725","2.9725","0.02K","0.44%"
"Apr 23, 2019","2.9600","2.9595","2.9595","2.9595","0.05K","-0.19%"
"Apr 22, 2019","2.9655","2.9650","2.9650","2.9650","0.06K","1.63%"
"Apr 19, 2019","2.9180","2.9180","2.9180","2.9180","-","-2.15%"
"Apr 18, 2019","2.9820","2.9815","2.9815","2.9815","0.09K","-1.45%"
"Apr 17, 2019","3.0260","3.0255","3.0255","3.0255","0.03K","0.97%"
"Apr 16, 2019","2.9970","2.9965","2.9965","2.9965","0.03K","-0.13%"
